Tenth,Twelfth,CGPA,Internships,Projects,Aptitude,Soft skills,Leadership,Extracurricular,Certifications,Backlogs,DSA,Lang,Probability
72.59,87.01,6.85,1,2,74.69,70.49,10.64,50.04,1,1,73.79,3,54.3
78.52,44.92,5.99,1,2,54.97,80.62,47.47,33.03,1,0,72.31,2,50.1
62.48,68.57,7.74,0,0,65.68,77.26,65.74,57.08,1,0,58.71,3,55.2
89.44,40.07,4.82,0,2,69.82,49.83,56.77,49.2,1,0,39.9,5,47.8
74.18,63.86,6.57,0,4,65.56,61.45,86.98,49.4,0,0,37.58,2,53.4
86.17,67.6,7.91,2,3,73.5,63.48,74.49,55.98,0,1,50.56,1,58.5
78.43,88.23,6.56,2,1,74.8,45.25,51.2,66.92,0,2,51.05,5,55.4
79.57,77.36,6.28,2,1,62.34,79.3,78.43,45.61,1,0,54.42,1,57
80.7,63.84,6.58,1,3,61.75,84.94,35.22,69.09,0,0,98.78,1,56.2
79.48,84.73,4.99,0,2,88.95,74.79,70.44,84.1,2,1,85.68,1,58.6
81.43,73.2,7.72,1,7,66.44,96.1,84.63,69.86,0,1,100,4,67.6
88.29,73.41,6.88,0,6,74.44,73.22,76.4,86.96,0,1,67.11,5,63.1
76.97,59.77,6.73,2,5,49.42,68.31,53.15,79.98,2,0,43.94,5,57.6
82.09,62.11,6.73,0,1,96.95,59.72,80.95,79.13,1,0,65.64,0,57.4
74.1,63.92,7.01,0,2,76.85,72.14,29.95,48.26,1,3,56.83,2,49.1
89.4,73.51,7.65,0,2,39.65,27.57,41.83,79.37,0,0,88.4,0,52.3
68.24,73.86,6.95,3,3,54.83,94.45,45.9,60.03,4,0,94.54,2,62.1
93.01,89.99,5.64,4,1,59.21,73.88,28.5,89.51,1,0,39.3,2,58.2
74.6,77.24,7.58,1,4,95.65,85,85.92,93.06,1,0,84.52,5,69.5
60.69,43.22,7.5,2,3,100,85.19,94.58,77.81,0,3,86.06,2,59.1
76.28,75.89,7.21,2,2,77.97,79.05,60.7,64.71,1,0,93.34,0,61.1
68.19,57.05,8.08,0,0,86.44,52.68,89.28,67.25,2,1,83.62,2,57.7
83.41,62.37,7.03,3,1,88.73,17.59,44.63,64.61,1,1,25.69,3,51.9
68.47,64.07,8.11,2,6,53.48,100,56.08,44.07,1,0,77.68,0,59.8
70.54,65.7,8.41,3,2,68.91,68.27,57.33,40.92,3,0,75.12,2,60.7
56.1,57.87,7.58,2,4,68.69,62.93,42.48,72.96,0,1,62.69,4,54.1
70.48,75.24,6.25,1,1,90.73,64.04,74.74,46.41,0,1,84.81,4,57.4
50.76,57.48,6.87,0,3,100,61.08,63.18,65.24,1,0,54.8,2,53.2
59.16,76.92,8.24,0,4,100,67.77,55.11,52.63,2,0,46.2,0,57.6
82.6,97.61,5.5,2,3,77.48,66.87,66.63,40.86,1,0,70.99,1,59.4
82.86,58.38,6.61,3,1,75.8,69.75,82.64,46.24,1,0,47.51,3,58.2
79.25,69.87,6.66,1,2,63.35,64.36,57.03,100,1,1,65.32,0,55.2
65.33,45.24,6.13,2,2,70.9,81.33,100,46.34,1,0,84.63,2,56.7
74.52,69.69,7.87,0,1,85.99,78.9,78.93,46.85,1,0,62.17,3,60
74.96,80.07,7.38,2,1,84.3,59.98,71.06,41.96,1,0,40.15,1,57.3
63.42,80.93,6.29,1,1,78.27,70.91,66.5,64.28,0,0,69.76,0,54.8
90.03,73.85,7.61,3,0,57.34,50.54,100,54.82,3,0,62.07,3,63.1
83.77,82.78,6.84,1,3,99.04,77.36,71.43,25.81,0,0,63.81,3,61.5
72.79,100,6.11,0,0,77.09,93.34,62.6,90.4,2,1,75.19,2,60.9
75.27,91.84,6.29,0,4,73.01,81.25,46.94,14.15,0,1,97.64,5,58
77.08,67.25,7.44,0,3,83.48,66.78,71.46,40.96,1,0,64.13,0,56.5
54.58,57.04,7.94,1,4,60.45,53.5,76.46,53.54,0,1,44.59,4,52.7
72.53,68.53,6.51,0,2,59,78.27,99.34,75.26,0,0,65.29,2,57.5
68.18,62.58,7.54,1,2,64.49,59.09,60.89,47.06,0,0,45.85,3,52.9
64.98,77.96,8.58,1,1,54.86,68.43,69.66,46.31,0,0,64.9,1,56.3
72.19,60.01,5.74,1,1,71.76,79.5,59.27,63.11,3,1,93.64,2,55.4
92.98,72.2,7.36,0,1,39.48,55.96,76.72,50.52,2,0,61.09,3,56.6
81.41,82.22,7.83,1,4,62.83,69.57,77.76,33.1,0,0,37.57,4,59.9
69.29,71.89,6.9,3,2,40.48,52.43,54.42,83.75,1,0,100,2,57.2
80.73,62.59,8.24,2,1,66.13,63.15,66.1,72.18,0,0,57.74,1,57.8
88.99,85.92,9.2,0,1,66.79,61.3,67,77.63,2,0,93.94,2,65.6
84.25,52.33,7.34,0,2,87.58,86.39,71.5,63.71,2,0,44.55,0,57.3
75.6,69.39,6.77,0,4,74.3,71.26,85.83,57.84,1,1,100,4,61
68.53,72.54,7.98,2,3,58.34,58.07,95.38,87.95,1,0,49.09,0,59.7
81.98,73.17,7.84,0,0,64.19,61.86,36.34,45.12,1,1,83.2,1,53.2
78.93,74.99,4.48,0,2,91.48,83.41,83.86,70.08,1,0,100,6,62
83.95,79.71,7,1,0,53.66,44.6,46.14,63.62,0,1,83.05,3,53.8
81.35,72.61,6.61,0,1,100,55.96,76.41,62.03,1,0,60.33,2,58
85.5,68.95,7.4,0,2,76.31,52.42,71.14,30.06,0,0,80.22,2,56.4
69.65,68.52,6.81,3,3,50.56,70.65,52.44,40.84,1,0,20.55,2,52.3
88.17,66.27,6.91,0,1,54.46,70.03,95.64,96.92,1,0,73.06,3,60.7
76.98,81.66,6.14,1,1,82.47,65.9,55.83,72.23,0,1,53.17,1,54.3
95.75,65.89,7.73,1,0,81.07,66.95,84.66,36.63,2,2,57.67,2,58.7
68.11,82.31,8.66,0,1,76.45,48.01,65.72,25.9,2,0,73.25,0,56.3
92.36,73.21,6.15,1,0,71.73,54.11,32.26,37.25,2,0,68.6,2,53
76.98,67.27,5.6,0,1,68.44,76.89,62.55,42.18,0,1,81.56,2,51.7
68.49,79.8,7.02,0,1,58.31,46.22,78.51,73.18,1,0,57.58,1,53.9
70.16,65,6.97,1,4,75.83,64.13,58.95,22.54,2,0,70.83,2,55.5
71.8,80.02,8.17,2,2,94.27,82.5,46.44,92.81,2,1,39.36,6,64.6
79.24,75.34,5.77,3,1,69.54,71.31,77.07,68.58,0,0,60.51,2,58.1
80.23,66.44,6.46,1,2,73.94,57.86,59.68,84.09,3,1,89.71,0,57
69.26,78.81,4.85,0,3,85.39,78.88,63.3,61.6,2,0,51.08,5,56.6
74.76,79.01,8.37,0,2,62.19,57.27,38.71,56.5,1,1,83.79,2,55.8
96.42,85.73,7.25,0,2,76.18,68.92,94.21,48.97,4,1,44.56,2,62.9
92.28,83.63,6.54,1,0,82,56.43,96.52,50.38,1,2,100,4,62.2
79.36,78.4,5.68,1,3,58.99,45.8,56.37,65.46,0,1,100,4,55.2
75.38,60.6,5.77,1,2,50.52,66.28,50.82,65.45,2,0,61.03,0,50.3
76.2,99.93,7.41,0,3,66.6,86.2,100,35.79,2,0,82.91,2,65.4
81.14,57.56,5.89,0,1,82.83,85.18,70.33,10.24,0,1,78.15,1,51.6
64.77,83.44,7.1,0,2,47.97,79.08,48.71,54.54,1,1,44.17,2,51.8
72.43,77.74,9.04,0,2,73.63,78.81,70.2,88.49,0,1,72.46,3,62.7
58.31,60.08,6.65,2,2,67.21,79.44,65.6,52.83,0,1,74.47,3,54.1
78.99,71.63,6.04,3,1,66.65,65.01,88.65,0.56,0,0,50.66,1,53.7
81.47,72.13,7.38,4,5,74.52,49.37,100,69.64,3,1,66.83,4,66.9
70.17,87.36,5.77,3,1,44.56,70.54,64.34,54.72,2,0,74.55,4,58
90.74,65.15,8.72,2,3,87.87,82.13,79.11,42.2,2,1,38.97,4,64.9
62.74,70.12,8.4,1,2,56.64,80.97,56.08,17.99,0,1,70.02,2,53.9
60.36,47.3,6.84,0,2,75.45,71.54,39.83,67.68,0,0,67.27,4,51
77.24,92.08,6.1,0,3,80.54,73.1,66.31,75.49,1,0,69.47,2,60.2
85.47,61.22,6.57,0,5,91.92,47.03,27.7,54.65,1,0,96.11,2,55.6
91.84,76.6,6.7,1,3,69.48,91.4,100,38.88,0,0,39.99,2,61.2
70.41,71.88,7.38,2,4,48.07,66.3,85.91,14.04,2,3,74.31,3,55.6
85.79,71.92,8.04,0,1,46.14,36.39,71.39,100,2,1,57.23,1,55.5
74.61,81.91,5.96,2,4,89.12,65.95,29.52,58.77,1,0,57.48,2,56.5
73.27,91.38,8.01,3,2,61.61,69.2,67.08,72.65,0,1,58.8,3,62
83.84,75.77,7.62,1,1,64.33,76.05,36.7,56.35,0,0,88.82,3,58.5
81.52,80.21,6.49,1,2,53.07,66.92,80.55,57.61,0,1,93.71,1,57.2
59.24,76.62,5.91,0,3,64.23,59.34,89.21,56.12,3,0,68.54,2,55.5
89.77,84.19,7.12,1,1,96.16,60.06,65.89,68.77,0,1,52.68,3,60.4
88.8,67.91,5.94,0,1,70.49,68.03,32.26,75.46,0,3,53.32,1,48.2
68.74,84.83,8.02,1,4,57.88,65.26,34.24,70.74,0,1,84.5,2,57.3
78.96,85.22,5.88,0,2,85.73,97.9,32.12,80.17,0,2,64.72,1,55
79.94,84.91,7.55,1,5,32.61,63.09,49.01,66.65,1,0,59.08,2,57.2
77.61,65.74,6.92,1,6,69.86,56.47,41.12,58.84,0,0,66.08,4,56.4
69.5,71.15,6.44,0,2,64.66,84.28,52.72,60.39,0,0,86.62,0,53.8
68.28,75.63,6.9,2,2,65.87,68.03,94.46,56.07,1,1,98.65,1,59.9
74.74,57.92,8.08,1,0,48.44,81.66,52.57,76.7,1,0,35.84,1,53.3
86.73,90.54,5.81,0,2,67.8,66.69,51.59,22.73,2,0,37.99,2,53.5
80.44,72.86,6.59,0,3,64.01,78.75,67.35,68.38,2,0,65.29,1,57.8
71.29,76.12,6.25,1,0,55.66,86.94,77.94,56.47,0,0,56.2,1,54.4
82.72,66.65,6.96,0,1,63.96,89.4,87.15,59.73,3,0,64.9,4,61.3
46.51,58.4,6.32,1,5,40.94,79.42,100,66.42,1,1,39.45,4,52.8
86.49,66.36,5.23,0,1,100,36.87,50.97,65.87,0,0,48.2,4,51.9
57.6,75.41,5.94,0,2,18.6,45.3,61.18,74.77,1,0,65.6,3,47.8
71.38,80.41,8.64,1,2,67.78,72.52,24.89,58.65,1,2,83.16,1,56.1
63.8,74.78,7.25,1,2,67.52,46.12,41.13,55.52,1,2,66.18,2,50.6
62.05,76.81,7.21,0,1,61.46,51.73,59.5,52.76,1,0,65.51,1,51.8
86.61,69.29,6.72,2,2,66.42,81.49,50.1,51.94,4,1,59.32,0,57.3
70.32,78.46,6.95,1,2,79.53,58.04,48.2,41.54,1,1,74.08,1,54
78.47,89.31,6.57,2,0,51.14,59.47,45.46,91.64,2,1,48.09,3,56
74.53,80.75,7.53,2,0,43.37,62.07,81.94,51.5,0,1,71.51,4,57.4
79.77,81.9,7.1,0,2,62,86.2,36.22,18.68,4,0,45.97,1,54.7
75.77,76.23,5.83,1,1,29.2,86.94,94.83,55.68,1,0,66.81,3,56.3
62.17,56.47,7.25,2,6,56.86,100,42.91,36.08,3,0,77.84,1,57.2
84.96,61.51,4.54,1,2,61.89,80.84,95.71,58.36,1,2,63.88,5,55.2
70.06,78,7.41,1,6,71.38,91.67,37.28,49.1,0,0,49.08,2,57.7
59.43,72.88,5.59,1,2,89.37,57.43,39.27,51.63,0,1,19.28,1,46.2
70.72,77.84,6.9,0,3,74.47,46.87,69.05,72.09,0,1,52.31,4,55.1
90.01,91.44,5.81,0,2,75.15,77.08,64.27,66.16,1,0,55.16,0,57.8
83.5,80.99,7,1,0,59.1,65.12,80.9,82.98,1,0,78.56,1,59.8
71.51,86.85,7.58,3,1,60.84,93.03,45.77,94.98,1,0,94.56,4,65.6
71.51,74.04,8.5,0,4,61.2,62.25,57.53,64.16,1,0,92.94,0,58.7
71.78,64.12,5.46,1,1,68.08,58.81,64.16,57.16,1,0,75.9,3,52.8
95.77,72.36,7.98,1,2,63.35,63.56,75.75,67.45,5,0,43.08,3,63.6
78.82,64.15,7.13,1,1,74.83,67.37,74.1,42.48,1,1,46.51,2,54.5
79.3,90.14,6.55,0,1,79.29,68.49,80.81,43.49,0,0,63.09,2,58.1
85.3,81.69,7.76,1,2,89.19,70.26,90.55,48.1,1,0,37.01,2,62.5
77.39,78.73,6.76,1,1,74.13,88.2,62.53,55.42,0,0,59.99,3,58.6
72.41,86.6,7.72,1,1,74.84,50.73,94.51,47.16,1,0,61.48,4,61.2
73.04,50.78,6.01,3,0,87.37,81.28,61.9,81.1,1,0,29.28,4,56
74.28,79.47,6.37,2,2,80.81,78.49,67.59,71.77,1,0,68.88,1,60
74.63,58.58,7.94,1,2,64.61,72.78,72.22,49.45,1,0,84.12,2,58.4
82.28,72.92,8.49,0,1,54.36,74.73,66.15,12.9,3,0,44.39,4,57.6
75.52,69.57,6.96,2,1,62.81,61.28,79.72,57.15,1,0,55.09,3,57.3
82.33,80.28,4.21,3,2,57.58,47.11,72.03,77.26,0,0,90.94,2,55.7
74.19,75.51,6.8,0,2,71.77,73.73,35.33,68,2,1,61.93,3,54.8
75.79,87.8,7.03,1,3,77.33,60.86,31.55,56.89,0,1,54.99,3,55.3
55.02,66.38,6.77,4,2,63.91,76.71,71.56,51.92,1,0,85.31,1,57.7
84.16,80.8,7.34,2,0,64.5,63.2,47.6,56.05,1,1,88.31,4,59.2
78.46,74.78,6.52,0,2,30.24,80.81,74.39,33.82,0,0,48.56,1,51.2
84.98,55.01,7.84,3,3,61.45,83.91,32.1,54.99,1,1,73.4,1,57
46.04,62.9,5.83,0,1,100,81.85,63.23,20.94,1,0,63.48,1,49.8
95.88,71.35,8.24,1,3,86.83,86.8,50.46,27.25,2,1,33.62,1,59.6
73.6,85.24,8.55,1,1,89.97,67.8,74.77,65.41,0,1,58.27,1,60.9
86.08,78.1,6.09,2,2,77.29,83.02,41.67,58.1,0,1,64.16,5,58.6
64.6,60.16,6.09,2,5,83.91,62.46,75.72,34.59,0,1,53.94,1,52.8
81.13,71.46,7.41,1,1,64.84,59.83,86.31,77.36,0,1,89.87,3,60.1
64.47,95.2,5.81,1,2,57.81,69.24,74.1,55.88,0,0,57.78,1,54.6
68.76,74.22,6.51,2,0,92.3,87.68,71.17,68.8,1,1,100,4,62.4
94.14,69.4,8.1,1,3,53.62,64.96,84.14,78.63,0,0,93.4,3,64.3
73.09,78.41,7.74,0,3,77.36,81.55,81.59,43.09,0,0,72.81,2,60.6
77.17,81.4,8.98,2,0,96.74,52.99,27.78,31.45,1,3,92.32,0,56.1
83.7,67.98,7.17,2,4,84.5,39.88,86.55,48.8,2,0,79.94,0,60.5
79.96,78.53,6.39,2,1,66.14,60.74,95.7,44.29,1,0,67.28,4,60.1
76.5,69.38,7.05,3,1,89.17,67.23,76.64,60.7,2,1,100,2,62.8
78.65,80.91,6.85,1,1,73.25,82.94,37.43,66.6,1,0,46.31,1,55.8
99.03,74.87,6.86,1,1,67.99,64.53,40.26,48.44,1,1,96.21,2,57.6
74.42,78.3,6.98,2,3,81.11,92.22,20.33,76.27,2,0,41.04,1,58
77.01,64.65,6.07,0,1,56.79,75.52,85.89,94.13,0,0,72.84,1,55.6
85.51,63.97,7.28,1,1,48.4,64.51,90.96,29.02,1,2,70.85,1,53.8
86.06,83.4,5.59,0,1,66.49,71.5,73.88,41.31,1,0,28.13,0,52.2
86.87,72.13,6.28,3,1,60.2,52.18,80.81,54.33,2,1,64.97,6,59.8
81.39,76.14,6.88,0,1,48.16,64.6,58.78,44.01,3,1,69.29,0,52.7
63.57,69.63,4.74,1,1,70.47,65.32,75.58,67.82,2,0,67.82,7,55.8
91.33,82.89,7.77,0,2,61.88,70.9,64.28,39.52,2,0,82.11,1,60.4
63.54,66.31,4.95,3,3,55.71,63.61,70.25,46.33,1,0,76.19,1,52.3
78.03,71.51,7.67,0,2,69.75,74.99,69.63,88.03,1,0,98.05,4,63.2
67.46,81.65,5.71,1,1,55.78,43.89,78.53,85.98,1,0,27.64,2,51.7
74.36,85.9,6.6,2,1,87.41,84.57,46.82,83.82,1,0,72.93,2,61.5
78.29,67.24,7.52,3,4,96.69,67.67,40.39,43.52,0,0,100,2,61.8
78.21,94.56,9.2,1,3,80.52,79.45,93.75,73.77,2,1,61.05,1,68.3
79.22,76.45,7.12,1,3,63.59,83.62,86.41,80.81,1,1,59.06,4,62.3
91.14,61.53,5.02,3,4,76.15,70.77,77.78,38.73,0,0,69.3,0,56.4
79.54,77.06,7.95,0,1,59.96,81.01,66.45,19.72,2,0,60.28,3,57.8
72.56,68.79,6.77,0,1,80,73.39,44.93,72.39,0,1,36.24,1,50.9
84.64,77.77,7.07,2,2,80.83,72.77,74.23,21.66,3,1,47.71,5,61.3
86.89,72.53,7.56,1,1,81.8,60.67,46.75,45.92,1,0,79.11,1,57.6
62.72,73.82,4.77,1,1,64.47,86.12,85.7,26.05,1,2,45.34,2,49.2
80.97,62.97,7.01,0,6,80.61,69.64,39.86,60.6,1,0,100,3,59.6
82.01,83.89,6.59,2,3,77.37,88.92,65.01,98.91,2,1,76,1,64.1
72.02,60.28,8.22,2,2,73.95,51.26,77.93,74.74,1,2,86.25,1,58.1
88.76,60.8,7.73,1,2,71.35,59.1,73.34,90.05,2,0,88.7,0,61.2
73.5,77.04,5.37,2,1,53.92,51.46,84.22,70.49,1,2,90.4,4,55.4
76.26,90.63,8.26,2,2,76.25,84.31,46.35,27.73,1,0,93.83,1,62.7
73.27,69.12,7.45,2,2,65.79,76.96,77.05,58.14,1,2,94.69,3,60.1
75.16,80.71,5.45,0,0,50.75,44.94,58.61,65.9,0,0,84.71,2,50.4
64.04,84.81,7.06,0,2,59.4,55.34,67.91,70.41,2,0,75.29,7,59.7
60.6,81.96,8.03,2,3,76.47,50.99,27.65,79.72,0,1,80.26,1,55.9
90.95,69.58,5.79,0,1,62.77,83.41,86.1,44.14,1,0,37.95,2,55.1
66.53,61,8.38,0,4,61.41,86.12,45,63.52,0,0,74.52,2,56.6
65.09,48.72,5.49,3,3,38.81,60.97,71.33,54.85,1,0,49.74,1,48.7
53.47,70.11,6.21,2,1,86.37,36.97,91.99,76.62,7,2,81.29,3,58.6
68.61,85.96,6.06,0,2,53.46,38.29,100,59.16,2,0,48.76,2,54.1
61.77,60.63,8.38,2,4,70.89,87.66,80.45,61.07,0,0,73.01,2,61.5
91.42,80.7,6.51,0,3,62.96,86.53,76.2,61.9,0,1,100,2,61.2
85.1,62.55,5.84,0,3,73.98,91.37,82.33,67.24,1,1,68.47,1,57.2
68.12,74.17,7.45,0,4,73.73,66.13,55.23,60.22,3,1,76.62,0,56.6
97.52,80.79,7.66,0,0,66.93,37.15,65.08,85.17,1,0,83.08,1,59.2
84.82,65.75,7.67,1,2,74.18,75.36,82.25,26.69,0,2,72.65,5,59.1
71.75,74.88,6.73,1,5,70.29,60.68,60.75,77.83,0,0,71.6,4,59.1
50.01,68.43,7.25,2,4,49.41,94.57,27.37,68.51,2,2,80.96,4,54.9
97.91,80.76,6.35,3,2,88.1,78.29,89.78,65.12,0,0,52.75,1,64.4
61.1,75.59,8.67,3,1,92.79,70.99,79.22,55.13,1,1,67.94,2,62.6
58.55,73.62,8.14,2,0,56.8,62.06,41.9,96.02,1,1,62.6,1,54.2
85.23,90.14,8.08,0,1,46.78,88.14,41.66,59.94,2,0,56,3,59.6
99.4,80.29,7.79,2,1,88.79,57.26,71.51,85.27,1,0,89.79,2,67
88.84,65.41,7.52,0,4,53.92,47.2,100,98.42,2,1,44.85,1,58.6
80.64,72.06,5.76,0,1,89.42,69.22,66.19,45.88,2,0,47.93,1,54.2
80.95,72.17,7.63,3,1,87.47,84.33,53.64,57.19,0,0,75.38,0,61
83.53,73.88,7.11,2,3,67.63,92.62,28.83,28.85,0,0,74.2,3,58
82.59,100,8.26,1,1,67.36,44.38,72.18,38.48,0,1,71.35,2,59.4
77.81,77.08,7.81,0,0,55.1,87.08,78.52,72.12,2,1,97.73,4,62.4
76.04,50.61,7.55,0,2,70.99,67.07,58.03,57.7,1,0,87.69,1,54.8
74.37,67.03,5.32,2,0,77.36,80.13,61.74,48.67,0,0,100,1,55.1
67.46,51.74,6.91,0,1,75.43,46.58,59,100,0,0,51.87,2,51
72.19,69.37,6.44,1,2,79.18,62.24,44.99,54.74,1,0,36.81,3,52.9
58.07,51.14,7.25,3,1,85.9,77.72,45.67,34.04,0,0,65.92,1,52.7
74.02,63.41,6.58,2,1,69.29,68.01,9.96,41.75,0,1,62.74,3,49.3
65.11,56.27,6.72,0,4,100,66.18,43.45,63.46,1,0,72.57,0,53.6
63.96,77.23,7.46,2,4,76.73,62.92,72.87,66.78,0,1,86.83,1,59.5
76.8,73.01,6.57,2,2,75.97,68.08,46.13,45.66,0,1,47.4,2,53.3
88.92,76.33,7.12,0,2,75.86,68.34,73.41,44.17,0,0,100,2,60.5
84.18,71.85,5.48,1,1,76.07,51.03,30.66,45.57,2,3,75.84,3,49.6
59.29,57.66,6.17,0,1,75.99,59.64,72.46,90.93,3,1,46.12,1,51.1
65.1,78.65,7.66,2,3,85.69,76.91,52.73,87.7,0,0,77.66,0,60.8
84.41,94.14,5.77,1,1,32.41,66.02,51.88,59.54,1,2,63.1,1,51.3
65.18,77.5,8.25,1,2,66.35,75.41,91.16,66.66,0,2,54.62,2,58.4
72.75,68.31,7.97,0,1,45.29,65.51,18.18,62.8,0,0,76.12,2,51
80.5,57.29,6.73,2,3,90.46,59.43,76.05,49.35,0,1,85.96,3,58.6
65.32,63.01,10,1,3,48.86,83.35,80.8,74.95,2,0,39.44,1,60.9
76.05,77.98,8.24,1,3,58.14,77.65,58.59,26.7,1,2,80.69,0,56.2
61.66,84.8,6.05,0,2,60.02,66.38,36.7,67.53,1,1,42.77,0,48.1
68.99,75.87,7.75,0,3,51.82,79.63,66.38,82.12,0,0,24.88,1,54.9
78.2,81.8,7.07,0,1,65.43,77.31,55.76,43.11,0,0,85.72,2,56.8
59.07,80.78,6.22,1,2,38.55,59.42,85.68,51.39,1,0,64.68,2,52.9
79.4,78.57,5.93,2,2,92.9,70.48,82.39,12.56,0,0,26.6,3,56.3
74.8,65.76,7.99,1,0,76.33,73.66,65,42.3,1,0,83.07,1,57.8
80.52,74.91,6.4,1,0,58.57,75.33,43.62,94.97,0,1,68.1,3,55
77.24,63.67,6.9,1,0,78.59,94.39,62.59,21.41,1,1,54.2,1,53.7
88.64,73.19,6.08,1,2,74.86,77.67,67.94,43.59,2,1,51.69,3,57.3
76.25,76.64,6.25,0,3,55.87,77.86,62.29,88.93,1,1,51.81,5,57
70.71,91.47,6.87,0,1,80.6,51.71,60.19,55.38,1,1,45.98,3,54.7
76.22,58.59,7.39,0,2,66.81,100,52.84,46.45,0,0,60.04,1,54.6
80.43,78.3,4.41,0,0,87,48.68,39.68,62.96,2,0,64.04,2,50.5
75.49,89.29,7.02,2,4,62.72,59.71,60.27,47.55,0,1,68.99,1,57.1
75.41,81.35,6.25,0,3,49.73,60.36,67.7,46.63,0,1,54.37,2,51.6
67.98,82.16,8.4,0,1,84.64,63.28,66.55,64.15,1,0,84.3,3,61.5
68.37,79.46,9.94,1,2,66.55,54.85,64.11,50.63,1,0,70.17,0,59.8
60.97,87.28,6.64,2,2,69.63,43.7,26.84,65.47,1,2,94.2,0,51.5
92.5,61.04,5.28,2,2,73.99,85.69,49.12,97.73,0,1,52.39,1,55.3
62.56,57.75,7.12,1,1,55.27,60.27,88.86,75.92,1,0,77.78,3,56
68.07,72.93,6.79,3,2,65.61,36.21,79.01,65.92,2,0,67.27,0,56.2
67.82,49.23,8.97,0,1,61.98,63.72,61.79,54.6,0,0,44.3,1,51.7
83.95,86.54,8.67,0,4,64.08,74.67,66.4,29.17,2,0,74.46,2,62.9
72.05,86.43,7.87,1,2,88.75,44.07,42.67,84.41,1,0,73.78,6,62.1
87.48,68.23,6.41,1,2,58.36,77.28,43.55,53.18,0,0,71.25,1,54.1
68.27,68.92,7.68,0,1,57.62,72.73,51.1,40.73,1,0,75.29,3,54.3
77.79,72.2,7.27,0,1,90.98,54.94,58.69,30.51,1,3,95.15,1,53.4
66.65,73.57,7.24,0,5,55.22,72.29,54.23,61.9,0,0,50.31,1,53.6
96.45,74.4,5.44,2,4,70.96,92.38,67.73,62.42,0,1,91.83,1,61
63.12,79.14,8.06,1,1,80.27,68.84,66.04,46.99,2,0,57.01,5,60.3
78.1,71.1,7.11,2,3,80.17,60.52,69.2,76.28,1,1,47.25,2,58.5
81.34,83.38,6.9,2,4,48.92,55.66,26.43,65.64,1,0,67.08,1,55.2
79.14,77.91,6.4,1,1,59.27,95.22,100,39.6,0,0,46.72,0,57
73.15,66.32,6.21,1,4,43.83,64.87,70.82,27.49,1,0,54.96,3,52.4
73.7,87.69,7.32,0,2,82.5,64.43,57.79,56.52,2,0,32.63,1,56.6
75.44,58.06,5.25,1,1,85.73,81.2,56.94,49.56,2,0,51.44,0,51.7
73.53,71.99,7.79,3,2,85.1,76.57,64.93,68.16,1,0,66.39,3,63.4
84.64,83.64,5.95,2,3,69.63,47.32,55.54,76.68,3,0,53.63,4,59.5
97.11,65.05,4.94,2,0,66.53,71.06,49.62,83.49,1,0,75.26,5,57.6
69.43,76.41,8.82,0,4,61.57,60.67,63.34,39.37,2,0,86.33,2,59.8
61.3,78.98,6.14,2,2,47.16,85.68,82.02,50.7,0,0,62.21,3,56.1
74.12,63.53,6.28,1,4,77.8,50.73,63.15,47.12,0,0,45.52,3,53
100,72.2,8.13,0,2,55.45,79.91,68.62,36.26,1,0,80.57,2,61.1
66.96,71.28,8.85,2,4,39.31,38.58,84.69,77.59,0,0,47.97,1,56.9
91.39,66.93,5.47,3,0,89.72,77.73,81.24,58.15,1,0,60.6,1,59.5
91.78,98.32,6.04,1,4,60.74,79.62,98.91,77.09,4,1,52.11,3,66.1
69.46,64.61,6.12,1,2,73.66,54.5,34.57,57.23,1,0,66.22,0,49.6
80.69,84.05,7.93,3,1,67.83,80.99,46.65,74.04,2,1,68.95,2,62.5
91.28,68.68,8.64,1,3,86.99,66.12,47.78,48.41,4,0,46.34,3,62.8
71.21,61.05,5.92,0,1,47.93,35.19,29.96,36.73,0,0,68.71,0,42
72.96,74.13,8.41,1,0,81.44,72.46,49.43,70.52,0,0,56.55,1,57.6
69.18,80.14,6.29,0,4,69.3,55.93,78.33,35.76,0,0,76.96,2,55.1
64.85,83.13,7.34,1,2,76.82,81.96,92.43,44.42,0,1,70.01,6,62.1
68.51,90.18,5.73,0,0,63.93,87.66,72.75,64.69,2,0,69.38,5,59
62.76,100,6.88,0,5,64.41,61.81,100,51.23,0,0,64.72,2,60.2
75.34,75.76,6.89,1,2,83.78,51.66,48.5,76.46,0,2,62.47,1,53.4
67.3,65.71,6.68,1,1,58.76,67.61,80.85,46.78,1,1,80.65,0,52.9
77.34,77.98,7.38,0,1,62.1,78.99,78.35,30.51,0,2,62.56,5,56.3
59.44,70.07,5.99,0,1,66.37,58.87,68.86,55.37,3,1,25.17,0,47.5
78.31,83.19,6.12,0,2,48.27,74.87,62.96,8.22,4,0,40.31,1,52.2
83.34,58.73,7.44,0,2,65.97,81.44,59.53,53.62,1,0,62.93,2,56.3
55.06,99.05,8.34,1,4,66.89,84.86,81.6,34.95,1,1,68.95,1,61.3
78.74,82.42,6.98,0,6,80.3,73.73,74.57,74.53,1,1,45.65,5,62.3
87.28,54.48,7.5,0,2,62.1,42.15,71.66,63.62,0,0,73.12,2,54.4
62.9,65.2,7.76,1,2,41.73,63.57,75.77,71.12,1,0,59.29,3,55.4
